;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
建材	jian4 cai2	100000000
生物	sheng1 wu4	100000000
一起	yi1 qi3	100000000
百度贴吧	bai3 du4 tie1 ba1	100000000
课程	ke4 cheng2	100000000
制作	zhi4 zuo4	100000000
出版	chu1 ban3	100000000
情侣	qing2 lv3	100000000
情人	qing2 ren2	100000000
爱人	ai4 ren2	100000000
在床上	zai4 chuang2 shang4	100000000
花园	hua1 yuan2	100000000
恋人	lian4 ren2	100000000
湖北	hu2 bei3	100000000
加盟	jia1 meng2	100000000
湖北省	hu2 bei3 sheng3	100000000
农业	nong2 ye4	100000000
打折	da3 zhe2	100000000
单肩包	dan1 jian1 bao1	100000000
网友	wang3 you3	100000000
在路上	zai4 lu4 shang4	100000000
对比	dui4 bi3	100000000
媒体	mei2 ti3	100000000
平民	ping2 min2	100000000
折扣	zhe2 kou4	100000000
二十四	er4 shi2 si4	100000000
百姓	bai3 xing4	100000000
不好	bu4 hao3	100000000
经营	jing1 ying2	100000000
购买	gou4 mai3	100000000
美丽说	mei3 li4 shuo1	100000000
老百姓	lao3 bai3 xing4	100000000
佛山	fo2 shan1	100000000
股份	gu3 fen4	100000000
里有	li3 you3	100000000
效果	xiao4 guo3	100000000
故事	gu4 shi4	100000000
影响	ying3 xiang3	100000000
制品	zhi4 pin3	100000000
电子书	dian4 zi3 shu1	100000000
显示	xian3 shi4	100000000
无锡	wu2 xi1	100000000
转载	zhuan3 zai3	100000000
卫生	wei4 sheng1	100000000
塑料	su4 liao4	100000000
求助	qiu2 zhu4	100000000
工艺	gong1 yi4	100000000
第四	di4 si4	100000000
独一无二	du2 yi1 wu2 er4	100000000
会计	kuai4 ji4	100000000
福州	fu2 zhou1	100000000
小区	xiao3 qu1	100000000
欧美	ou1 mei3	100000000
世纪	shi4 ji4	100000000
词典	ci2 dian3	100000000
云南	yun2 nan2	100000000
业主	ye4 zhu3	100000000
环保	huan2 bao3	100000000
人员	ren2 yuan2	100000000
产业	chan3 ye4	100000000
转帖	zhuan3 tie3	100000000
有没有	you3 mei2 you3	100000000
石家庄	shi2 jia1 zhuang1	100000000
看看	kan4 kan4	100000000
方案	fang1 an4	100000000
一下	yi1 xia4	100000000
作者	zuo4 zhe3	100000000
教师	jiao4 shi1	100000000
其它	qi2 ta1	100000000
包装	bao1 zhuang1	100000000
二十五	er4 shi2 wu3	100000000
玻璃	bo1 li2	100000000
今天	jin1 tian1	100000000
男士	nan2 shi4	100000000
江西	jiang1 xi1	100000000
医学	yi1 xue2	100000000
江西省	jiang1 xi1 sheng3	100000000
全部	quan2 bu4	100000000
这个	zhe4 ge4	100000000
人的	ren2 de5	100000000
台湾	tai2 wan1	100000000
除此之外	chu2 ci3 zhi1 wai4	100000000
经验	jing1 yan4	100000000
比价	bi3 jia4	100000000
高考	gao1 kao3	100000000
四十	si4 shi2	100000000
热门	re4 men2	100000000
夏季	xia4 ji4	100000000
责任	ze2 ren4	100000000
广西	guang3 xi1	100000000
区别	qu1 bie2	100000000
旅馆	lv3 guan3	100000000
证券	zheng4 quan4	100000000
业务	ye4 wu4	100000000
电器	dian4 qi4	100000000
人生	ren2 sheng1	100000000
幼儿	you4 er2	100000000
文库	wen2 ku4	100000000
万元	wan4 yuan2	100000000
型号	xing2 hao4	100000000
医药	yi1 yao4	100000000
意思是	yi4 si1 shi4	100000000
试题	shi4 ti2	100000000
泡泡	pao1 pao1	100000000
排行榜	pai2 hang2 bang3	100000000
控制	kong4 zhi4	100000000
专题	zhuan1 ti2	100000000
温州	wen1 zhou1	100000000
什么时候	shen2 me5 shi2 hou4	100000000
